"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6JB648F8","book","1985","Escobari de Querejazu, Laura","Producción y comercio en el espacio sur andino en el siglo XVII. Cuzco - Potosi ,1650 - 1700","","","","","","","1985","2020-07-06 15:10:54","2020-07-06 15:12:48","","","","","","","","Producción y comercio","Colección Arzans y Vela","","","","Embajada de España","La Paz","esp","","","","","Open WorldCat","","OCLC: 1069736163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GK6ZUURH","book","1994","Pérez Torrico, Alexis","El Estado oligárquico y los empresarios de Atacama (1871-1878)","","211","","","","","1994","2020-07-06 15:21:01","2020-07-06 15:22:43","","","","","","","","El Estado oligárquico","","","","","Ediciones Gráficas ""E.G.""","La Paz","esp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YPGX2M65","book","1993","Soux, María Luisa","La coca liberal: producción y circulación a principios del siglo XX","","","","","","","1993","2020-07-06 15:26:43","2020-07-06 15:27:21","","","","","","","","La coca liberal","","","","","Misión de Cooperación Técnica Holandesa / Centro de Información para el Desarrollo","La Paz","esp","","","","","","","OCLC: 654480105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ZRYTSTN","book","1991","Mamani Condori, Carlos B.","Taraqu, 1866-1935: masacre, guerra y ""Renovacion"" en la biografia de Eduardo L. Nina Qhispi","","","","","","","1991","2020-07-06 15:32:07","2020-07-06 15:33:51","","","","","","","","Taraqu, 1866-1935","","","","","Ediciones Aruwiyiri","La Paz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B63UF7ZZ","book","2007","Gamarra Téllez, María del Pilar","Amazonía Norte de Bolivia: Economía gomera (1870-1940). Bases económicas de un poder regional. La casa Suárez","","","","","","","2007","2021-08-28 14:44:12","2021-08-28 14:45:41","","","","","","","","Amazonía Norte de Bolivia: Economía Gomera","","","","","Producciones CIMA","La Paz","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TYT47CMU","book","2009","Aillón Soria, Esther","Vida, pasión y negocios. El propietario de la Vila ""San Pedro Mártir"" Indalecio Gonzáles de Socaca (1755-1820)","","","","","","","2009","2021-08-28 14:50:41","2021-08-28 14:52:58","","","","","","","","Vida, pasión y negocios","","","","","FCBC / ABNB","Sucre","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRAKGUAV","book","2000","Inch Calvimonte, Marcel","Bibliotecas privadas y libros en venta en Potosí y su entorno, 1767-1822","","","","","","","2000","2021-08-28 15:04:14","2021-08-28 15:05:52","","","","","","","","Bibliotecas privadas y libros en venta en Potosí","","","","","Paramillo","Colombia","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BL5MNMG7","book","2013","Chuquimia Bonifaz, Fernando","Las Sociedades de Socorro Mutuo y Beneficiencia en La Paz, 1883-1920","","","","","","","2013","2021-08-28 15:11:29","2021-08-28 15:11:55","","","","","","","","Las Sociedades de Socorro Mutuo y Beneficiencia en La Paz","","","","","CEPAA","La Paz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRUVSUVR","book","2004","Cusicanqui Olañeta, Vito","Tiwanaku. Embrión geopolítico de los Andes","","Tiwanaku","","","","","2004","2021-08-29 00:47:54","2021-08-29 00:48:57","","","","","","","","","","","","","C&C Impresiones","La Paz","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SY3X3P2","book","2014","García Guzmán, Anamaría","Patrimonio y poder en la sociedad colonial. Las dotes de la ciudad de La Paz 1585-1650","","","","","","","2014","2021-08-29 00:48:58","2021-08-29 00:52:36","","","","","","","","Patrimonio y poder en la sociedad colonial","","","","","CEPAA","La Paz","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QBGB3DLT","book","2005","Cortéz Rodríguez, Julio Jorge Francisco","Caciques y hechiceros. Huellas en la historia de Mojos","","Caciques y hechiceros","","","","","2005","2021-08-29 00:52:47","2021-08-29 00:54:20","","","","","","","","","","","","","Plural Editores / Universidad de la Cordillera","La Paz","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GK9G96D9","book","2007","Oporto Ordóñez, Luis","Uncía y Llallagua. Empresa minera capitalista y estrategias de apropiación real del espacio (1900-1935)","","978-99954-1-088-9","","","","","2007","2021-08-29 00:54:20","2021-08-29 00:55:40","","","","","","","","Uncía y Llallagua","","","","","IFEA / Plural Editores","La Paz","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8WWEAC7H","book","2003","Flores Quispe, Hugo","Colquiri, una mina de estaño 1900-1963","","","","","","","2003","2021-08-29 00:55:49","2021-08-29 00:56:46","","","","","","","","Colquiri","","","","","INSSB / UMSA","La Paz","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NSHJW6NQ","book","2007","Montaño Durán, Patricia Beatriz","Modesta Sanginés. Precursora de la equidad de género","","","","","","","2007","2021-08-29 00:56:46","2021-08-29 00:57:43","","","","","","","","Modesta Sanginés","","","","","FUNDAPAC","La Paz","es","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
